gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000147113.16,731.887,739.182,230.991,620.528,149.887
ENSG00000237836.5,10.0,21.8627,4.0,36.6103,4.71235
ENSG00000008086.11,13217.0,10424.8,1431.95,9658.72,938.576
ENSG00000131831.17,177.0,94.0,303.0,163.0,186.0
ENSG00000047230.14,676.298,897.054,145.92700000000005,884.47,144.384
ENSG00000182287.13,1877.55,1580.97,758.8380000000002,2809.57,720.613
ENSG00000147003.5,23.0,2.0,16.0,64.0,2.0
ENSG00000165197.4,41.0001,59.0,27.0,35.0,41.0
ENSG00000130150.11,1615.7,914.668,172.757,889.992,191.0
ENSG00000101958.13,448.215,386.961,71.0,496.152,42.1897
ENSG00000196459.13,860.555,778.291,460.701,824.454,449.39
ENSG00000123595.7,570.0,511.0,239.0,691.0,253.0
ENSG00000198759.11,37.0,5.0,9.0,14.0,2.0
ENSG00000187268.11,86.6291,106.448,2.0,85.87700000000002,6.7251699999999985
ENSG00000101911.12,1049.0,496.0,475.0,665.0,490.0
ENSG00000234129.7,95.8646,124.296,3.0,107.514,1.42259
ENSG00000047644.18,850.3789999999998,742.678,373.896,720.8919999999998,299.186
ENSG00000146950.12,1302.0,656.0,361.0,536.0,332.0
ENSG00000101850.12,87.0,147.0,26.0,201.0,37.0
ENSG00000101849.15,740.454,1501.19,205.01,1144.92,286.0
ENSG00000126767.17,714.0,2439.0,874.0,1271.0,1359.0
ENSG00000228543.1,28.4746,8.17152,38.0,2.01965,13.0
ENSG00000006757.11,597.758,751.492,192.768,754.095,206.948
ENSG00000101846.6,1807.0,1477.0,552.0,838.0,455.0
ENSG00000234449.2,90.8629,633.861,88.2499,454.346,48.1176
ENSG00000205664.10,488.951,671.929,99.7731,399.551,40.8889
ENSG00000183943.5,392.448,642.486,147.997,412.507,283.059
ENSG00000101825.7,131.0,27.0,16.0,26.0,5.0
ENSG00000228459.3,15.0,5.0,1.0,11.0,6.0
ENSG00000062096.14,143.262,79.277,16.8525,86.3247,20.8838
ENSG00000157399.14,60.0,76.9999,12.0,64.0001,16.9999
ENSG00000056998.18,229.3,306.071,135.099,320.368,185.0
ENSG00000214717.10,355.07,281.812,260.21,395.907,174.416
ENSG00000236871.7,20.5394,74.2368,9.74682,38.2899,9.70557
ENSG00000169100.13,1486.02,1465.01,3087.29,1931.02,1709.32
